"play/step","coinrun_500_hard - _step","coinrun_500_hard - _step__MIN","coinrun_500_hard - _step__MAX","coinrun_500_hard - play/episodic_reward","coinrun_500_hard - play/episodic_reward__MIN","coinrun_500_hard - play/episodic_reward__MAX","coinrun_500_hard - test/episodic_reward","coinrun_500_hard - test/episodic_reward__MIN","coinrun_500_hard - test/episodic_reward__MAX"
"69210","2014","2014","2014","0","0","0","","",""
"69297","2015","2015","2015","10","10","10","","",""
"69303","2033","2033","2033","","","","10","10","10"
"69386","2016","2016","2016","0","0","0","","",""
"69461","2035","2035","2035","","","","0","0","0"
"69547","2017","2017","2017","0","0","0","","",""
"69855","2057","2057","2057","","","","10","10","10"
"70024","2040","2040","2040","0","0","0","","",""
"70064","2059","2059","2059","","","","10","10","10"
"70096","2060","2060","2060","","","","0","0","0"
"70208","2042","2042","2042","10","10","10","","",""
"70213","2061","2061","2061","","","","0","0","0"
"70240","2043","2043","2043","0","0","0","","",""
"70277","2044","2044","2044","10","10","10","","",""
"70317","2062","2062","2062","","","","10","10","10"
"70424","2046","2046","2046","0","0","0","","",""
"70530","2048","2048","2048","10","10","10","","",""
"70584","2064","2064","2064","","","","0","0","0"
"70616","2049","2049","2049","10","10","10","","",""
"70724","2087","2087","2087","","","","10","10","10"
"71064","2069","2069","2069","0","0","0","","",""
"71265","2073","2073","2073","10","10","10","","",""
"71335","2074","2074","2074","10","10","10","","",""
"71367","2095","2095","2095","","","","10","10","10"
"71422","2096","2096","2096","","","","10","10","10"
"71730","2118","2118","2118","","","","10","10","10"
"71806","2119","2119","2119","","","","10","10","10"
"72116","2105","2105","2105","10","10","10","","",""
"72126","2123","2123","2123","","","","10","10","10"
"72168","2124","2124","2124","","","","10","10","10"
"72259","2107","2107","2107","10","10","10","","",""
"72296","2126","2126","2126","","","","0","0","0"
"72341","2108","2108","2108","0","0","0","","",""
"72463","2109","2109","2109","0","0","0","","",""
"72557","2110","2110","2110","10","10","10","","",""
"72577","2130","2130","2130","","","","0","0","0"
"72797","2149","2149","2149","","","","10","10","10"
"72956","2150","2150","2150","","","","0","0","0"
"73039","2151","2151","2151","","","","0","0","0"
"73051","2135","2135","2135","0","0","0","","",""
"73246","2136","2136","2136","0","0","0","","",""
"73303","2153","2153","2153","","","","0","0","0"
"73325","2138","2138","2138","10","10","10","","",""
"73461","2154","2154","2154","","","","0","0","0"
"73534","2155","2155","2155","","","","10","10","10"
"73682","2157","2157","2157","","","","0","0","0"
"73787","2173","2173","2173","","","","10","10","10"
"73863","2158","2158","2158","0","0","0","","",""
"74041","2159","2159","2159","0","0","0","","",""
"74171","2178","2178","2178","","","","0","0","0"
"74326","2180","2180","2180","","","","10","10","10"
"74339","2161","2161","2161","10","10","10","","",""
"74598","2164","2164","2164","0","0","0","","",""
"74621","2183","2183","2183","","","","0","0","0"
"74658","2184","2184","2184","","","","0","0","0"
"74917","2186","2186","2186","10","10","10","","",""
"74965","2187","2187","2187","10","10","10","","",""
"75055","2188","2188","2188","0","0","0","","",""
"75131","2189","2189","2189","10","10","10","","",""
"75748","2193","2193","2193","10","10","10","","",""
"75778","2221","2221","2221","","","","10","10","10"
"75978","2208","2208","2208","0","0","0","","",""
